Name,Team,ERA,GB%,HardHit%,IP,CStr%,ERA_inv,HardHit_inv,ERA_scaled,GB_scaled,HardHit_scaled,IP_scaled,CStr_scaled,score
Robbie Ray,SFG,2.83,0.376,0.439,92.1,0.147,2.92,0.063,0.7281795511221946,0.261904761904762,0.3214285714285714,0.4117647058823528,0.22058823529411753,0.4856226468143367
Jack Kochanowicz,LAA,5.49,0.514,0.47100000000000003,82.0,0.145,0.2599999999999998,0.030999999999999972,0.06483790523690768,0.626984126984127,0.1581632653061223,0.06228373702422152,0.19117647058823484,0.4805916712927407
Jesus Luzardo,PHI,4.08,0.419,0.41,90.1,0.168,1.67,0.09200000000000003,0.4164588528678304,0.3756613756613758,0.46938775510204095,0.3425605536332177,0.5294117647058825,0.4741214853421362
Matthew Boyd,CHC,2.65,0.36,0.38799999999999996,91.2,0.151,3.1,0.11400000000000005,0.773067331670823,0.21957671957671965,0.5816326530612247,0.3806228373702423,0.279411764705882,0.473779864944201
Matthew Liberatore,STL,3.96,0.419,0.45,86.1,0.16699999999999998,1.79,0.05199999999999999,0.4463840399002494,0.3756613756613758,0.26530612244897955,0.2041522491349479,0.5147058823529409,0.473111736789642
Tomoyuki Sugano,BAL,4.06,0.423,0.371,88.2,0.161,1.6900000000000004,0.131,0.42144638403990037,0.3862433862433863,0.6683673469387755,0.27681660899654004,0.42647058823529416,0.4706231445767231
Freddy Peralta,MIL,2.9,0.373,0.359,93.0,0.138,2.85,0.14300000000000002,0.7107231920199502,0.25396825396825407,0.729591836734694,0.4429065743944638,0.08823529411764697,0.46636653512316867
Michael Wacha,KCR,3.33,0.38799999999999996,0.32299999999999995,92.0,0.14800000000000002,2.42,0.17900000000000005,0.6034912718204489,0.2936507936507937,0.9132653061224492,0.40830449826989623,0.2352941176470591,0.46504739688648444
Luis Castillo,SEA,3.69,0.41,0.456,90.1,0.141,2.06,0.045999999999999985,0.5137157107231921,0.35185185185185186,0.23469387755102034,0.3425605536332177,0.13235294117647034,0.46171530716014014
Ryan Pepiot,TBR,3.36,0.382,0.433,96.1,0.146,2.39,0.069,0.5960099750623442,0.2777777777777779,0.3520408163265306,0.5501730103806226,0.2058823529411764,0.45975208796539996
Bailey Falter,PIT,3.59,0.387,0.431,85.1,0.174,2.16,0.07100000000000001,0.5386533665835412,0.29100529100529116,0.3622448979591837,0.16955017301038033,0.6176470588235292,0.4512721743954865
Jake Irvin,WSN,4.73,0.409,0.47600000000000003,99.0,0.184,1.0199999999999996,0.025999999999999968,0.254364089775561,0.3492063492063493,0.13265306122448964,0.6505190311418687,0.7647058823529409,0.43961374437800155
MacKenzie Gore,WSN,3.09,0.361,0.426,99.0,0.132,2.66,0.07600000000000001,0.6633416458852869,0.22222222222222232,0.38775510204081637,0.6505190311418687,0.0,0.43651405895104617
