Name,Team,AVG,OBP,SLG,HR,RBI,BB%,K%,HardHit%,AVG_norm,RBI_norm,OBP_norm,score
Geraldo Perdomo,ARI,0.259,0.356,0.416,9,56,0.13,0.11900000000000001,0.321,0.4560439560439562,0.7500000000000002,0.5363636363636364,0.5602947052947055
Heliot Ramos,SFG,0.282,0.359,0.468,13,44,0.083,0.23600000000000002,0.43200000000000005,0.5824175824175823,0.5192307692307694,0.55,0.5569780219780219
Yandy Diaz,TBR,0.288,0.34,0.463,12,44,0.068,0.139,0.551,0.6153846153846154,0.5192307692307694,0.46363636363636385,0.5561888111888112
Kyle Schwarber,PHI,0.247,0.377,0.533,25,57,0.16,0.262,0.5760000000000001,0.3901098901098903,0.7692307692307694,0.6318181818181818,0.5521878121878123
Max Muncy,LAD,0.251,0.377,0.465,13,53,0.163,0.22,0.516,0.4120879120879122,0.6923076923076925,0.6318181818181818,0.5400999000999002
Juan Soto,NYM,0.259,0.397,0.514,20,46,0.187,0.157,0.565,0.4560439560439562,0.5576923076923077,0.7227272727272729,0.539875124875125
Sal Frelick,MIL,0.299,0.358,0.392,4,33,0.071,0.13,0.27699999999999997,0.6758241758241759,0.30769230769230776,0.5454545454545454,0.5393106893106894
Michael Busch,CHC,0.271,0.36,0.502,13,46,0.105,0.22,0.452,0.5219780219780221,0.5576923076923077,0.5545454545454545,0.5392057942057942
Ryan O'Hearn,BAL,0.296,0.383,0.476,11,30,0.10800000000000001,0.171,0.49700000000000005,0.6593406593406594,0.25000000000000006,0.6590909090909092,0.5364885114885116
Matt Olson,ATL,0.256,0.362,0.472,15,52,0.14,0.228,0.5429999999999999,0.4395604395604398,0.6730769230769231,0.5636363636363637,0.5344305694305695
Alec Burleson,STL,0.3,0.335,0.477,10,35,0.054000000000000006,0.13,0.446,0.6813186813186813,0.3461538461538462,0.44090909090909114,0.5326873126873127
Brendan Donovan,STL,0.3,0.368,0.423,5,29,0.08,0.131,0.42100000000000004,0.6813186813186813,0.23076923076923078,0.590909090909091,0.5280719280719282
Nick Castellanos,PHI,0.282,0.324,0.445,9,44,0.054000000000000006,0.195,0.39299999999999996,0.5824175824175823,0.5192307692307694,0.3909090909090911,0.5251598401598402
Bo Bichette,TOR,0.273,0.313,0.428,11,49,0.051,0.159,0.502,0.5329670329670333,0.6153846153846154,0.34090909090909105,0.5192807192807195
Brandon Lowe,TBR,0.273,0.32,0.481,17,47,0.063,0.24100000000000002,0.466,0.5329670329670333,0.5769230769230769,0.3727272727272728,0.5141058941058942
Nico Hoerner,CHC,0.294,0.339,0.378,2,34,0.053,0.068,0.28,0.6483516483516483,0.3269230769230769,0.4590909090909092,0.5140709290709291
Kyle Stowers,MIA,0.277,0.352,0.496,13,40,0.095,0.28600000000000003,0.525,0.5549450549450552,0.44230769230769235,0.5181818181818181,0.5138011988011989
J.P. Crawford,SEA,0.284,0.394,0.383,6,30,0.14800000000000002,0.175,0.313,0.5934065934065933,0.25000000000000006,0.7090909090909092,0.5135214785214786
